  Amorphous  Si O_2

                   [Zolotarev (1970) Opt.Spektrosc. 29, 66]

================================================================================
 wavelength       refractive index           dielectric function        energy
   (cm)        real part     imag.part     real part     imag.part       (eV)
--------------------------------------------------------------------------------
 7.1429E-04   1.04000E+00   1.40000E-02   1.08140E+00   2.91200E-02   1.7356E-01
 7.2993E-04   1.00000E+00   1.60000E-02   9.99744E-01   3.20000E-02   1.6984E-01
 7.4627E-04   9.40000E-01   2.20000E-02   8.83116E-01   4.13600E-02   1.6612E-01
 7.6336E-04   8.80000E-01   4.10000E-02   7.72719E-01   7.21600E-02   1.6240E-01
 7.6923E-04   8.40000E-01   5.50000E-02   7.02575E-01   9.24000E-02   1.6116E-01
 7.7519E-04   8.00000E-01   6.80000E-02   6.35376E-01   1.08800E-01   1.5992E-01
 7.8125E-04   7.40000E-01   8.00000E-02   5.41200E-01   1.18400E-01   1.5868E-01
 7.8740E-04   6.70000E-01   1.00000E-01   4.38900E-01   1.34000E-01   1.5744E-01
 7.9365E-04   5.90000E-01   1.50000E-01   3.25600E-01   1.77000E-01   1.5620E-01
 8.0000E-04   5.00000E-01   2.50000E-01   1.87500E-01   2.50000E-01   1.5496E-01
 8.0645E-04   4.00000E-01   3.50000E-01   3.75000E-02   2.80000E-01   1.5372E-01
 8.1301E-04   3.70000E-01   4.50000E-01  -6.56000E-02   3.33000E-01   1.5248E-01
 8.1967E-04   3.80000E-01   5.50000E-01  -1.58100E-01   4.18000E-01   1.5124E-01
 8.2645E-04   4.00000E-01   6.50000E-01  -2.62500E-01   5.20000E-01   1.5000E-01
 8.3333E-04   4.30000E-01   7.20000E-01  -3.33500E-01   6.19200E-01   1.4876E-01
 8.4034E-04   4.50000E-01   7.80000E-01  -4.05900E-01   7.02000E-01   1.4752E-01
 8.4746E-04   4.50000E-01   8.20000E-01  -4.69900E-01   7.38000E-01   1.4628E-01
 8.5470E-04   4.40000E-01   9.40000E-01  -6.90000E-01   8.27200E-01   1.4504E-01
 8.6207E-04   4.30000E-01   1.05000E+00  -9.17600E-01   9.03000E-01   1.4381E-01
 8.6957E-04   3.90000E-01   1.15000E+00  -1.17040E+00   8.97000E-01   1.4257E-01
 8.7719E-04   3.50000E-01   1.30000E+00  -1.56750E+00   9.10000E-01   1.4133E-01
 8.8496E-04   3.20000E-01   1.50000E+00  -2.14760E+00   9.60000E-01   1.4009E-01
 8.9286E-04   3.80000E-01   1.78000E+00  -3.02400E+00   1.35280E+00   1.3885E-01
 9.0090E-04   7.00000E-01   2.40000E+00  -5.27000E+00   3.36000E+00   1.3761E-01
 9.0909E-04   1.25000E+00   2.58000E+00  -5.09390E+00   6.45000E+00   1.3637E-01
 9.1743E-04   1.80000E+00   2.60000E+00  -3.52000E+00   9.36000E+00   1.3513E-01
 9.2593E-04   2.48000E+00   2.35000E+00   6.27901E-01   1.16560E+01   1.3389E-01
 9.3458E-04   2.68000E+00   2.05000E+00   2.97990E+00   1.09880E+01   1.3265E-01
 9.4340E-04   2.88000E+00   1.70000E+00   5.40440E+00   9.79200E+00   1.3141E-01
 9.5238E-04   2.88000E+00   1.42000E+00   6.27800E+00   8.17920E+00   1.3017E-01
 9.6154E-04   2.85000E+00   1.12000E+00   6.86810E+00   6.38400E+00   1.2893E-01
 9.7087E-04   2.77000E+00   8.00000E-01   7.03290E+00   4.43200E+00   1.2769E-01
 9.8039E-04   2.68000E+00   5.50000E-01   6.87990E+00   2.94800E+00   1.2645E-01
 9.9010E-04   2.56000E+00   4.20000E-01   6.37720E+00   2.15040E+00   1.2521E-01
 1.0000E-03   2.40000E+00   3.00000E-01   5.67000E+00   1.44000E+00   1.2397E-01
 1.0101E-03   2.30000E+00   2.20000E-01   5.24160E+00   1.01200E+00   1.2273E-01
 1.0417E-03   2.02000E+00   1.80000E-01   4.04800E+00   7.27200E-01   1.1901E-01
 1.0753E-03   1.82000E+00   1.70000E-01   3.28350E+00   6.18800E-01   1.1529E-01
 1.1111E-03   1.76000E+00   1.60000E-01   3.07200E+00   5.63200E-01   1.1157E-01
================================================================================
